四川成都电信,#genre#
海南卫视,http://192.168.3.1:8188/rtp/239.94.0.100:5140?FCC=182.139.234.40:8027
辽宁卫视高清,http://192.168.3.1:8188/rtp/239.94.0.101:5140?FCC=182.139.234.40:8027
兵团卫视高清,http://192.168.3.1:8188/rtp/239.94.0.102:5140?FCC=182.139.234.40:8027
厦门卫视,http://192.168.3.1:8188/rtp/239.94.0.104:5140?FCC=182.139.234.40:8027
三沙卫视,http://192.168.3.1:8188/rtp/239.94.0.105:5140?FCC=182.139.234.40:8027
山东教育卫视,http://192.168.3.1:8188/rtp/239.94.0.106:5140?FCC=182.139.234.40:8027
延边卫视,http://192.168.3.1:8188/rtp/239.94.0.107:5140?FCC=182.139.234.40:8027
北京纪实科教高清,http://192.168.3.1:8188/rtp/239.94.0.109:5140?FCC=182.139.234.40:8027
安多卫视,http://192.168.3.1:8188/rtp/239.94.0.110:5140?FCC=182.139.234.40:8027
重庆卫视高清,http://192.168.3.1:8188/rtp/239.94.0.82:5140?FCC=182.139.234.40:8027
CDTV-2高清,http://192.168.3.1:8188/rtp/239.94.0.155:5140?FCC=182.139.234.40:8027
CDTV-3高清,http://192.168.3.1:8188/rtp/239.94.0.156:5140?FCC=182.139.234.40:8027
CDTV-4高清,http://192.168.3.1:8188/rtp/239.94.0.157:5140?FCC=182.139.234.40:8027
CDTV-5高清,http://192.168.3.1:8188/rtp/239.94.0.158:5140?FCC=182.139.234.40:8027
CDTV-6高清,http://192.168.3.1:8188/rtp/239.94.0.159:5140?FCC=182.139.234.40:8027
CDTV-8高清,http://192.168.3.1:8188/rtp/239.94.0.160:5140?FCC=182.139.234.40:8027
金鹰纪实高清,http://192.168.3.1:8188/rtp/239.94.1.1:5140?FCC=182.139.234.40:8027
CETV-1高清,http://192.168.3.1:8188/rtp/239.94.1.2:5140?FCC=182.139.234.40:8027
熊猫新闻高清专区,http://192.168.3.1:8188/rtp/239.94.1.3:5140?FCC=182.139.234.40:8027
熊猫体娱高清专区,http://192.168.3.1:8188/rtp/239.94.1.4:5140?FCC=182.139.234.40:8027
熊猫少儿高清专区,http://192.168.3.1:8188/rtp/239.94.1.5:5140?FCC=182.139.234.40:8027
熊猫影院专区,http://192.168.3.1:8188/rtp/239.94.1.6:5140?FCC=182.139.234.40:8027
云看熊猫专区,http://192.168.3.1:8188/rtp/239.94.1.7:5140?FCC=182.139.234.40:8027
金熊猫卡通高清专区,http://192.168.3.1:8188/rtp/239.94.1.8:5140?FCC=182.139.234.40:8027
嘉佳卡通,http://192.168.3.1:8188/rtp/239.94.1.10:5140?FCC=182.139.234.40:8027
熊猫爱生活高清专区,http://192.168.3.1:8188/rtp/239.94.1.11:5140?FCC=182.139.234.40:8027
大爱四川高清专区,http://192.168.3.1:8188/rtp/239.94.1.12:5140?FCC=182.139.234.40:8027
大爱旅游高清专区,http://192.168.3.1:8188/rtp/239.94.1.13:5140?FCC=182.139.234.40:8027
大爱生活高清专区,http://192.168.3.1:8188/rtp/239.94.1.14:5140?FCC=182.139.234.40:8027
大爱时尚高清专区,http://192.168.3.1:8188/rtp/239.94.1.15:5140?FCC=182.139.234.40:8027
家政频道高清,http://192.168.3.1:8188/rtp/239.93.42.48:5140?FCC=182.139.234.40:8027
CETV-2,http://192.168.3.1:8188/rtp/239.94.1.19:5140?FCC=182.139.234.40:8027
CETV-4高清,http://192.168.3.1:8188/rtp/239.94.1.20:5140?FCC=182.139.234.40:8027
经典电影专区,http://192.168.3.1:8188/rtp/239.94.1.21:5140?FCC=182.139.234.40:8027
华语影院专区,http://192.168.3.1:8188/rtp/239.94.1.22:5140?FCC=182.139.234.40:8027
星光院线专区,http://192.168.3.1:8188/rtp/239.94.1.23:5140?FCC=182.139.234.40:8027
全球大片专区,http://192.168.3.1:8188/rtp/239.94.1.24:5140?FCC=182.139.234.40:8027
热播剧场专区,http://192.168.3.1:8188/rtp/239.94.1.25:5140?FCC=182.139.234.40:8027
热门剧场专区,http://192.168.3.1:8188/rtp/239.94.1.26:5140?FCC=182.139.234.40:8027
健康养生专区,http://192.168.3.1:8188/rtp/239.94.1.27:5140?FCC=182.139.234.40:8027
谍战剧场专区,http://192.168.3.1:8188/rtp/239.94.1.28:5140?FCC=182.139.234.40:8027
卡酷少儿,http://192.168.3.1:8188/rtp/239.94.1.29:5140?FCC=182.139.234.40:8027
金鹰卡通,http://192.168.3.1:8188/rtp/239.94.1.30:5140?FCC=182.139.234.40:8027
